# metadata={"schema":"zvvnmod-utn57-runtime-map-v1","baseline":"sha256:10cb9b51f466e61f88ab6789dd8ad130ef31e3c140cb208c8049eb902be97ce5"}
id,sources,targets,note
source:A_INIT,A_INIT,A:init,
source:A_MEDI,A_MEDI,A:medi,
source:A_FINA,A_FINA,A:fina,
source:AA_FINA,AA_FINA,Aa:isol,
source:B_INIT,B_INIT,B:init,
source:B_MEDI,B_MEDI,B:medi,
source:B_FINA,B_FINA,B:fina,
source:C_INIT,C_INIT,C:init,
source:C_MEDI,C_MEDI,C:medi,
source:C_FINA,C_FINA,C:fina,
source:CH_INIT,CH_INIT,Ch:init,
source:CH_MEDI,CH_MEDI,Ch:medi,
source:CH_FINA,CH_FINA,Ch:fina,
source:D_INIT,D_INIT,D:init,
source:D_MEDI,D_MEDI,D:medi,
source:D_FINA,D_FINA,D:fina,
source:F_INIT,F_INIT,F:init,
source:F_MEDI,F_MEDI,F:medi,
source:F_FINA,F_FINA,F:fina,
source:G_INIT,G_INIT,G:init,
source:G_MEDI,G_MEDI,G:medi,
source:H_INIT,H_INIT,H:init,
source:H_FINA,H_FINA,H:fina,
source:HR_MEDI,HR_MEDI,Hr:medi,
source:HR_FINA,HR_FINA,Hr:fina,
source:HX_INIT,HX_INIT,Hx:init,
source:HX_AA_FINA,HX_AA_FINA,Hx:fina MVS Aa:isol,Pinned mongfontbuilder/meco chachlag observation.
source:I_ISOL,I_ISOL,I:isol,
source:I_INIT,I_INIT,I:init,
source:I_MEDI,I_MEDI,I:medi,
source:I_FINA,I_FINA,I:fina,
source:J_MEDI,J_MEDI,J:medi,
source:J_FINA,J_FINA,J:fina,
source:K_INIT,K_INIT,K:init,
source:K_MEDI,K_MEDI,K:medi,
source:K_FINA,K_FINA,K:fina,
source:L_INIT,L_INIT,L:init,
source:L_MEDI,L_MEDI,L:medi,
source:L_FINA,L_FINA,L:fina,
source:M_INIT,M_INIT,M:init,
source:M_MEDI,M_MEDI,M:medi,
source:M_FINA,M_FINA,M:fina,
source:N_INIT,N_INIT,N:init,
source:N_MEDI,N_MEDI,N:medi,
source:N_AA_FINA,N_AA_FINA,N:fina MVS Aa:isol,Pinned mongfontbuilder/meco chachlag observation.
source:O_INIT,O_INIT,O:init,
source:O_MEDI,O_MEDI,O:medi,
source:O_FINA,O_FINA,O:fina,
source:P_INIT,P_INIT,P:init,
source:P_MEDI,P_MEDI,P:medi,
source:P_FINA,P_FINA,P:fina,
source:R_INIT,R_INIT,R:init,
source:R_MEDI,R_MEDI,R:medi,
source:R_FINA,R_FINA,R:fina,
source:RH_INIT,RH_INIT,Rh:init,
source:RH_MEDI,RH_MEDI,Rh:medi,
source:RH_FINA,RH_FINA,Rh:fina,
source:S_INIT,S_INIT,S:init,
source:S_MEDI,S_MEDI,S:medi,
source:S_FINA,S_FINA,S:fina,
source:SH_INIT,SH_INIT,Sh:init,
source:SH_MEDI,SH_MEDI,Sh:medi,
source:SH_FINA,SH_FINA,Sh:fina,
source:T_INIT,T_INIT,T:init,
source:T_MEDI,T_MEDI,T:medi,
source:T_FINA,T_FINA,T:fina,
source:U_ISOL,U_ISOL,U:isol,
source:U_FINA,U_FINA,U:fina,
source:UE_FINA,UE_FINA,Ue:fina,
source:W_INIT,W_INIT,W:init,
source:W_MEDI,W_MEDI,W:medi,
source:W_FINA,W_FINA,W:fina,
source:Y_INIT,Y_INIT,Y:init,
source:Y_MEDI,Y_MEDI,Y:medi,
source:Z_INIT,Z_INIT,Z:init,
source:Z_MEDI,Z_MEDI,Z:medi,
source:Z_FINA,Z_FINA,Z:fina,
source:ZR_INIT,ZR_INIT,Zr:init,
source:NIRUGU,NIRUGU,Nirugu,
target:A:isol,A_INIT AA_FINA,A:isol,
target:B2:fina,O_MEDI AA_FINA,B2:fina,
target:Cr:init,O_INIT O_MEDI,Cr:init,
target:Dd:medi,O_MEDI A_MEDI,Dd:medi,
target:Dd:fina,O_MEDI A_FINA,Dd:fina,
target:G:fina,I_MEDI AA_FINA,G:fina,
target:H:medi,A_MEDI A_MEDI,H:medi,
target:Hx:medi,M_MEDI M_MEDI,Hx:medi,
target:K2:init,K_INIT,K2:init,
target:K2:medi,K_MEDI,K2:medi,
target:K2:fina,K_FINA,K2:fina,
chachlag:M_FINA_AA_FINA,M_FINA AA_FINA,M:fina MVS Aa:isol,UTN chachlag onset-plus-suffix shape alignment.
chachlag:L_FINA_AA_FINA,L_FINA AA_FINA,L:fina MVS Aa:isol,UTN chachlag onset-plus-suffix shape alignment.
chachlag:S_FINA_AA_FINA,S_FINA AA_FINA,S:fina MVS Aa:isol,UTN chachlag onset-plus-suffix shape alignment.
chachlag:R_FINA_AA_FINA,R_FINA AA_FINA,R:fina MVS Aa:isol,UTN chachlag onset-plus-suffix shape alignment.
chachlag:I_ISOL_AA_FINA,I_ISOL AA_FINA,I:isol MVS Aa:isol,UTN chachlag onset-plus-suffix shape alignment.
chachlag:I_FINA_AA_FINA,I_FINA AA_FINA,I:fina MVS Aa:isol,UTN chachlag onset-plus-suffix shape alignment.
chachlag:U_FINA_AA_FINA,U_FINA AA_FINA,U:fina MVS Aa:isol,UTN chachlag onset-plus-suffix shape alignment.
chachlag:H_FINA_AA_FINA,H_FINA AA_FINA,H:fina MVS Aa:isol,UTN chachlag onset-plus-suffix shape alignment.
particle:01,O_INIT U_FINA,O:init U:fina,
particle:02,O_INIT U_FINA,O:init U:fina,
particle:03,B_INIT O_MEDI U_FINA,B:init O:medi U:fina,
particle:04,A_INIT CH_MEDI A_FINA,A:init Ch:medi A:fina,
particle:05,A_INIT CH_MEDI A_MEDI N_MEDI N_MEDI A_MEDI A_FINA,A:init Ch:medi A:medi Hx:medi A:medi A:fina,
particle:06,I_ISOL,I:isol,
particle:07,I_INIT I_MEDI A_MEDI R_FINA,I:init I:medi A:medi R:fina,
particle:08,I_INIT I_MEDI A_MEDI R_FINA,I:init I:medi A:medi R:fina,
particle:09,I_INIT I_MEDI A_MEDI A_FINA,I:init I:medi A:medi A:fina,
particle:10,I_INIT I_MEDI A_MEDI A_FINA,I:init I:medi A:medi A:fina,
particle:11,U_ISOL,U:isol,
particle:12,U_ISOL,U:isol,
particle:13,O_INIT A_FINA,O:init A:fina,
particle:14,O_INIT A_FINA,O:init A:fina,
particle:15,O_INIT O_MEDI A_FINA,O:init Dd:fina,
particle:16,O_INIT O_MEDI A_FINA,O:init Dd:fina,
particle:17,CH_INIT U_FINA,Ch:init U:fina,
particle:18,CH_INIT U_FINA,Ch:init U:fina,
particle:19,T_INIT U_FINA,T:init U:fina,
particle:20,T_INIT U_FINA,T:init U:fina,
particle:21,T_INIT O_MEDI R_FINA,T:init O:medi R:fina,
particle:22,T_INIT O_MEDI N_MEDI I_FINA,T:init O:medi N:medi I:fina,
particle:23,Y_INIT O_MEDI G_MEDI A_MEDI A_FINA,Y:init O:medi G:medi A:medi A:fina,
particle:24,L_INIT O_MEDI G_MEDI AA_FINA,L:init O:medi G:medi Aa:fina,
particle:25,N_INIT O_MEDI G_MEDI O_MEDI A_FINA,N:init O:medi G:medi O:medi Dd:fina,
particle:26,N_INIT O_MEDI G_MEDI A_MEDI A_FINA,N:init O:medi G:medi A:medi A:fina,
particle:27,Y_INIT O_MEDI M_FINA,Y:init O:medi M:fina,
particle:28,Y_INIT O_MEDI M_MEDI S_MEDI A_MEDI A_FINA,Y:init O:medi M:medi S:medi A:medi A:fina,
particle:29,G_INIT O_FINA,G:init O:fina,
particle:30,I_INIT I_FINA,I:init I:fina,
particle:31,I_INIT I_MEDI A_FINA,I:init I:medi A:fina,
particle:32,D_INIT A_MEDI N_MEDI N_MEDI A_MEDI A_FINA,D:init A:medi Hx:medi A:medi A:fina,
particle:33,D_INIT A_MEDI G_MEDI A_MEDI A_FINA,D:init A:medi G:medi A:medi A:fina,
particle:34,D_INIT U_FINA,D:init U:fina,
particle:35,D_INIT U_FINA,D:init U:fina,
particle:36,D_INIT A_MEDI H_FINA,D:init A:medi H:fina,
particle:37,D_INIT A_MEDI I_MEDI AA_FINA,D:init A:medi G:fina,
particle:38,D_INIT A_MEDI G_MEDI I_FINA,D:init A:medi G:medi I:fina,
particle:39,D_INIT A_MEDI G_MEDI I_FINA,D:init A:medi G:medi I:fina,
particle:40,D_INIT O_MEDI R_FINA,D:init O:medi R:fina,
particle:41,D_INIT O_MEDI R_FINA,D:init O:medi R:fina,
particle:42,D_INIT O_MEDI N_MEDI I_FINA,D:init O:medi N:medi I:fina,
particle:43,D_INIT O_MEDI N_MEDI I_FINA,D:init O:medi N:medi I:fina,
particle:44,D_INIT O_MEDI N_MEDI N_MEDI A_MEDI R_FINA,D:init O:medi Hx:medi A:medi R:fina,
particle:45,D_INIT O_MEDI G_MEDI A_MEDI R_FINA,D:init O:medi G:medi A:medi R:fina,
particle:46,D_INIT A_FINA,D:init A:fina,
particle:47,D_INIT A_FINA,D:init A:fina,
